time,n0v,n1v
85.8,-60.5581,-61.2645
85.9,-60.5432,-61.21
86,-60.5305,-61.1575
86.1,-60.5168,-61.1057
86.2,-60.5042,-61.0511
86.3,-60.4905,-60.9935
86.4,-60.4781,-60.9368
86.5,-60.4634,-60.8784
86.6,-60.4511,-60.8211
86.7,-60.4382,-60.762
86.8,-60.4264,-60.7046
86.9,-60.4141,-60.6445
87,-60.4028,-60.5858
87.1,-60.3915,-60.5218
87.2,-60.3798,-60.4579
87.3,-60.3664,-60.3931
87.4,-60.3537,-60.3243
87.5,-60.3418,-60.2579
87.6,-60.3294,-60.1934
87.7,-60.3172,-60.1213
87.8,-60.3048,-60.0506
87.9,-60.2926,-59.9784
88,-60.2812,-59.8988
88.1,-60.2691,-59.823
88.2,-60.2581,-59.7502
88.3,-60.2465,-59.6663
88.4,-60.2366,-59.586
88.5,-60.2249,-59.5092
88.6,-60.2136,-59.4305
88.7,-60.2009,-59.343
88.8,-60.1905,-59.2544
88.9,-60.178,-59.169
89,-60.167,-59.0783
89.1,-60.1557,-58.9835
89.2,-60.1457,-58.8898
89.3,-60.1318,-58.7892
89.4,-60.119,-58.6956
